transaction_id,user_id,product_id,quantity,price,timestamp
txn_001,1001,2001,1,89800,2024-02-01 10:15:00
txn_002,1002,2002,1,15800,2024-02-01 11:30:00
txn_003,1003,2003,1,124800,2024-02-01 14:20:00
txn_004,1001,2011,2,2800,2024-02-02 09:45:00
txn_005,1004,2016,1,14800,2024-02-02 16:10:00
txn_006,1005,2021,1,18800,2024-02-03 13:25:00
txn_007,1002,2012,1,3200,2024-02-03 15:40:00
txn_008,1006,2017,1,4800,2024-02-04 12:00:00
txn_009,1007,2004,1,32800,2024-02-04 17:30:00
txn_010,1003,2018,2,5800,2024-02-05 10:50:00
txn_011,1008,2022,2,5800,2024-02-05 14:15:00
txn_012,1009,2019,1,8900,2024-02-06 11:25:00
txn_013,1010,2023,1,8900,2024-02-06 16:45:00
txn_014,1001,2006,1,8900,2024-02-07 09:30:00
txn_015,1011,2024,1,12800,2024-02-07 13:15:00
txn_016,1012,2013,3,680,2024-02-08 10:20:00
txn_017,1004,2020,1,2400,2024-02-08 15:45:00
txn_018,1013,2008,1,12800,2024-02-09 12:30:00
txn_019,1005,2014,2,1480,2024-02-09 17:00:00
txn_020,1014,2025,1,24800,2024-02-10 11:10:00
txn_021,1002,2015,1,1980,2024-02-10 14:25:00
txn_022,1015,2009,1,5900,2024-02-11 09:40:00
txn_023,1007,2010,3,1200,2024-02-11 16:20:00
txn_024,1006,2005,1,45800,2024-02-12 13:05:00
txn_025,1008,2007,1,6800,2024-02-12 15:50:00
txn_026,1001,2018,1,5800,2024-02-13 10:35:00
txn_027,1009,2002,1,15800,2024-02-13 14:40:00
txn_028,1010,2016,1,14800,2024-02-14 11:55:00
txn_029,1003,2019,1,8900,2024-02-14 16:25:00
txn_030,1011,2011,1,2800,2024-02-15 12:15:00
txn_031,1012,2017,1,4800,2024-02-15 15:30:00
txn_032,1004,2022,1,5800,2024-02-16 10:45:00
txn_033,1013,2001,1,89800,2024-02-16 14:10:00
txn_034,1014,2012,2,3200,2024-02-17 11:20:00
txn_035,1015,2021,1,18800,2024-02-17 16:35:00
txn_036,1005,2003,1,124800,2024-02-18 13:40:00
txn_037,1006,2024,1,12800,2024-02-18 15:15:00
txn_038,1007,2013,4,680,2024-02-19 10:25:00
txn_039,1008,2004,1,32800,2024-02-19 14:50:00
txn_040,1009,2020,2,2400,2024-02-20 12:05:00
